Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
107,Green ash,25.2,"6,389.69","1,893.6",161.48,30.0,2.56,511.0,4.57,N/A,N/A,43.8,10.36,N/A,17.49
108,Green ash,35.6,"12,231.14","3,914.7",333.82,45.0,3.84,831.9,7.43,N/A,N/A,71.2,16.88,N/A,28.15
109,Swamp white oak,20.9,"4,398.58","2,237.6",190.82,44.2,3.77,459.1,4.10,N/A,N/A,39.3,9.31,N/A,17.19
110,Sugar maple,13.9,"2,313.88",976.3,83.25,18.3,1.56,252.9,2.26,N/A,N/A,21.7,5.13,N/A,8.95
111,Sugar maple,18.0,"3,956.02","1,794.6",153.04,25.9,2.21,343.6,3.07,N/A,N/A,29.4,6.97,N/A,12.25
112,Thornless honeylocust,25.8,"5,148.60","3,473.2",296.18,46.1,3.93,306.4,2.74,N/A,N/A,26.2,6.22,N/A,12.88
113,Northern hackberry,20.1,"4,069.12",280.3,23.90,4.9,0.42,569.8,5.09,N/A,N/A,48.8,11.56,N/A,17.07
114,Norway maple,21.6,"4,697.40","2,446.6",208.64,53.0,4.52,370.4,3.31,N/A,N/A,31.7,7.51,N/A,15.34
115,Northern hackberry,14.2,"2,036.43",154.6,13.18,3.9,0.33,315.6,2.82,N/A,N/A,27.0,6.40,N/A,9.55
116,Washington hawthorn,7.8,586.95,193.0,16.46,9.7,0.83,25.7,0.23,N/A,N/A,2.2,0.52,N/A,1.58
117,Tulip tree,1.0,78.30,1.0,0.08,0.6,0.05,3.4,0.03,N/A,N/A,0.3,0.07,N/A,0.15
118,Northern red oak,2.1,78.30,8.4,0.72,1.6,0.14,8.8,0.08,N/A,N/A,0.8,0.18,N/A,0.40
119,Bur oak,2.3,78.30,8.5,0.73,1.1,0.09,9.5,0.08,N/A,N/A,0.8,0.19,N/A,0.37
120,Swamp white oak,2.5,78.30,37.6,3.21,5.5,0.47,9.3,0.08,N/A,N/A,0.8,0.19,N/A,0.74
121,Bur oak,9.4,898.59,284.8,24.29,8.4,0.72,139.7,1.25,N/A,N/A,12.0,2.83,N/A,4.80
122,Freeman maple,4.0,98.59,55.3,4.72,6.3,0.54,33.8,0.30,N/A,N/A,2.9,0.69,N/A,1.53
123,Northern red oak,23.9,"5,748.56","3,092.3",263.70,49.9,4.26,402.5,3.60,N/A,N/A,34.5,8.17,N/A,16.02
124,American basswood,1.6,58.73,3.0,0.26,0.8,0.06,6.1,0.05,N/A,N/A,0.5,0.12,N/A,0.24
